label,right_shoulder,left_shoulder
milieu,151.5359582446413,151.4723143301814
haut,157.66860435218956,164.5913164091057
haut,162.9216263636163,170.74620957224892
haut,170.64786480429726,170.6550917000008
haut,172.5615632232161,166.80407874065267
haut,173.2065254815199,169.18433628971513
haut,172.43984522486986,171.71235102072447
haut,172.00194095149465,168.19633263861365
haut,171.00688693681818,169.77994135982303
haut,166.9120911632008,168.54575936577206
milieu,161.9520101023317,167.99349166521654
milieu,158.37391055059783,164.68032057763497
milieu,152.8104067417722,155.45739462871416
milieu,140.06549694978102,142.22152035142923
milieu,126.13120732524007,129.17017848985006
milieu,114.04695291150746,107.62155789274655
milieu,95.63514626411722,79.82080042629366
milieu,82.60002748163835,64.01488448237879
milieu,67.63426409093607,51.345583754559954
milieu,66.89771979100193,39.74008575340913
milieu,55.70747172675578,35.37711094733045
milieu,49.171237663020165,36.88873539359674
milieu,48.488345297958084,32.56325755670355
bas,44.129453797671395,32.96285733229575
bas,39.64090014796525,32.69782647121945
bas,40.6877572517305,35.61640520535469
bas,41.898293265653415,40.50261060196895
bas,43.21468860192149,35.03479054111964
bas,40.83950702141362,33.26003362751541
bas,42.53470794515616,30.3935859486296
bas,41.73335016752583,26.787087608295987
bas,45.734831089273484,55.615044136279934
bas,46.426182096525096,45.27087167372739
bas,40.5078355535045,34.92674658312082
bas,47.228482950697725,35.96002063685133
milieu,59.42956052799566,37.895355148630514
milieu,76.80772834020831,59.12949573042353
milieu,105.59631608038642,87.12481460447482
milieu,127.04927097146071,123.85403944354186
milieu,146.94954230221427,150.68110033453476
milieu,155.76374050434694,163.9842151619362
haut,163.71308096259585,165.34484211196167
haut,169.39732572764368,174.32204387856126
haut,172.74344234939815,172.97647847286743
haut,172.3547895355863,176.8773908483594
haut,172.2037527048278,173.26505432765958
haut,172.15824931845435,172.83833432864995
haut,165.52056594405195,172.04315959867756
haut,162.42195823397242,162.16622485419748
milieu,157.92797598864482,161.62810134903006
milieu,145.84164770822034,148.53472538781384
milieu,132.3436939953196,134.07398273498575
milieu,121.06846580547375,114.16566781084222
milieu,105.8991961209766,94.83386292422678
milieu,89.857935917744,72.44895099442806
milieu,79.57582488996913,60.50506984180089
milieu,63.31263204807141,52.60641521045703
milieu,61.21687059249452,44.392748448627295
milieu,59.599443842259014,41.211568434930314
bas,34.79891105805295,14.785337399477397
bas,38.15145917155345,19.54870872058083
bas,37.75350804259191,18.793575237456114
bas,37.905450940436275,19.214415470776554
bas,37.87260643494526,18.84657609215901
bas,39.17794610524187,17.73370312111655
bas,39.96016646091218,17.105715980057344
bas,39.089538811378986,16.09906109230022
bas,40.44718630462539,17.816627980494765
milieu,39.809442653860565,18.96678244296235
milieu,41.07924469870824,27.365453364882672
milieu,48.95953800524245,40.81117966192877
milieu,58.89806875072669,53.925220240870885
milieu,77.63392595857283,83.8506684756716
milieu,102.36143743062456,111.52185002165223
milieu,110.78999507027864,127.86857244992044
milieu,134.60329155708612,141.63321196014172
milieu,149.83934093627389,149.9793617447949
haut,159.4944771504798,158.02176831052586
haut,164.08612588634753,166.05619667424455
haut,168.4518177128161,168.31506115692312
haut,166.42758837393134,161.61212570390515
haut,161.42033107072257,157.31345883259146
milieu,155.739083687555,154.93881393800237
milieu,154.20788855153305,150.81748832138038
milieu,144.60105652136,145.47891561243492
milieu,139.7516054666652,139.79424379180873
milieu,132.3318478462609,135.7910866964344
milieu,118.90891169764467,129.51594546463016
milieu,107.31790407957068,122.38774331823878
milieu,101.83603174320169,111.34866389684835
milieu,95.89310036535724,101.32440883696978
milieu,86.53536862068792,80.2966929854324
