label,left_elbow_shoulder_hip,right_elbow_shoulder_hip,right_hip_knee_angle,left_hip_knee_angle,right_elbow_angle,left_elbow_angle,wrist,elbow
haut,70.73986774227575,nan,nan,161.59760863385455,171.958447399263,173.16701463914177,nan,nan
haut,70.92795665355402,nan,nan,161.37616079858256,172.4825392640251,173.81893151507657,nan,nan
haut,71.35438423085094,nan,nan,161.49893886137272,173.13471861320483,173.84794917588005,nan,nan
haut,71.49561111148809,nan,nan,161.63020972362148,174.04883610815295,174.039096824013,nan,nan
haut,71.74201473392174,nan,nan,161.75090980758816,173.83088974805264,174.0960637546527,nan,nan
haut,71.73982628392233,nan,nan,161.64673067127492,173.16874273585807,173.99459976417805,nan,nan
haut,70.83410791923673,nan,nan,162.37641186892634,172.74942408591346,172.84433356074805,nan,nan
haut,70.96091993077123,nan,nan,161.61316547614643,171.085748353476,172.13143675335817,nan,nan
bas,34.28750088385769,nan,nan,159.63397075322396,93.21300274195411,94.04218218714992,nan,nan
bas,26.296425897961385,nan,nan,157.70723089411828,91.66589008916391,84.82496682770636,nan,nan
bas,9.633311051119643,nan,nan,158.70882779059474,66.06960574133782,69.1076711532697,nan,nan
bas,3.6030664795602894,nan,nan,157.5314867925525,52.242650110328995,65.24980342841667,nan,nan
bas,1.0242328128872185,nan,nan,159.4074445821055,45.82229007684354,60.46393751234632,nan,nan
bas,1.8497957731140953,nan,nan,158.4315818672353,43.4001649377844,59.96191681180355,nan,nan
bas,1.8497957731140953,nan,nan,158.4315818672353,43.4001649377844,59.96191681180355,nan,nan
bas,7.342315557134222,nan,nan,165.30684894550492,39.270846212669056,56.75466402157143,nan,nan
bas,5.62567424626953,nan,nan,160.28451080470302,42.989043970570734,56.398397931363505,nan,nan
bas,4.766859465129616,nan,nan,161.06405913194675,44.40937486116233,57.004847380422895,nan,nan
bas,7.373746397701613,nan,nan,160.20736811376344,45.87421648417809,55.38278753330552,nan,nan
bas,7.373746397701613,nan,nan,160.20736811376344,45.87421648417809,55.38278753330552,nan,nan
bas,4.2632647434852515,nan,nan,158.75921397029302,46.25229593140114,58.01966376133822,nan,nan
bas,0.5068209935300326,nan,nan,157.22673467219258,51.76673226516185,62.1835904584008,nan,nan
bas,22.558642325782543,nan,nan,152.2471090502663,91.71893081214388,83.49707907930532,nan,nan
bas,22.818997404683717,nan,nan,152.21060287522687,91.63656644134706,83.66379700130848,nan,nan
haut,69.13488813336924,nan,nan,165.19761512293917,168.5771687760897,171.1216929973212,nan,nan
haut,69.22857151256521,nan,nan,164.73114996884257,169.66210603075663,172.1542739788215,nan,nan
haut,70.05536275080502,nan,nan,163.57850835451657,169.01295694494632,171.52737069341126,nan,nan
haut,70.02932535413372,nan,nan,163.99674282248552,168.96134624409913,171.19845610568535,nan,nan
