label,right_shoulder,left_shoulder
bas,51.37806094991332,44.94484893916867
bas,54.79075807459034,46.551593404743954
bas,62.672582493054406,48.11477692565769
bas,69.51151715337666,64.41190679687728
milieu,107.95610058284657,107.54638597963749
milieu,114.9983812620481,114.96798896345547
milieu,128.36738493071866,128.24332205064127
milieu,142.66652102083634,145.46384170024257
milieu,149.69483662135048,152.74045648539004
milieu,157.85791042823652,158.83920805679594
haut,171.62288171486583,164.95343019053954
haut,172.69790450173417,165.41016253265664
haut,173.50384607554395,166.70364540144666
haut,174.15663536574803,167.41826483391
haut,174.23057275443392,169.03955398118703
haut,177.34693186295112,175.74555095232324
haut,177.92976515383626,175.10446840155205
haut,176.17550248581276,174.51826097248085
milieu,123.90964779782807,161.21443600995678
milieu,110.9267399040909,166.42572880276037
bas,51.10412630448827,16.037992690826883
bas,48.563254988487806,11.700212296509275
bas,46.95539382836408,10.80266111837195
bas,45.7037174842882,10.22262774821523
bas,46.04499125917149,8.645620874876656
bas,48.559903037004254,10.28803534940213
bas,57.251179935039325,24.568937303858153
milieu,107.0680983645975,156.7430342437222
milieu,124.42156937069089,163.98371809720584
milieu,140.1541653526536,163.84496941409745
milieu,151.08567551794243,170.10129627150917
milieu,159.63803185050898,172.94943373039663
haut,171.76226414038754,173.739925978911
haut,174.6364210803521,175.6678908310705
haut,176.27302757388324,176.34193728151166
haut,177.1762421203073,175.73882150694396
haut,177.13283376910215,175.55476991134722
haut,176.52668856075098,176.19953381101297
haut,176.3128553933142,175.4930278741307
haut,176.48337805899382,174.9979879179325
haut,176.43672754547228,175.87460468030088
